exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,55.0,2023-10-10 10:22:40,BUY,75.02,4126.1,2023-12-14 13:04:07,SELL,87.18,4794.9,668.8,16.21
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2023-10-13 11:09:42,BUY,75.94,75.94,2023-12-14 13:04:07,SELL,87.18,87.18,11.24,14.8
NSE,EQ,SBIN,STATE BANK OF INDIA,LONG,1.0,2020-01-10 09:21:13,BUY,329.8,329.8,2020-07-17 10:48:57,SELL,185.9,185.9,-143.9,-43.63
NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,1.0,2021-07-22 11:08:48,BUY,304.1,304.1,2023-05-23 09:07:53,SELL,522.5,522.5,218.4,71.82
NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,1.0,2021-09-21 11:25:53,BUY,294.15,294.15,2023-05-23 09:07:53,SELL,522.5,522.5,228.35,77.63
NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,5.0,2021-09-21 11:25:53,BUY,294.15,1470.75,2023-05-23 09:07:53,SELL,522.5,2612.5,1141.75,77.63
NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,1.0,2022-01-07 11:21:15,BUY,486.0,486.0,2023-05-23 09:07:53,SELL,522.5,522.5,36.5,7.51
NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,1.0,2022-02-08 15:05:08,BUY,493.2,493.2,2023-05-23 09:07:53,SELL,522.5,522.5,29.3,5.94
NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,15.0,2022-04-04 11:44:15,BUY,448.45,6726.75,2023-05-23 09:07:53,SELL,522.5,7837.5,1110.75,16.51
NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,3.0,2022-12-05 11:20:05,BUY,430.3,1290.9,2023-05-23 09:07:53,SELL,522.5,1567.5,276.6,21.43
NSE,EQ,TATAPOWER,TATA POWER,LONG,18.0,2022-01-12 10:16:38,BUY,237.85,4281.3,2023-05-24 11:10:32,SELL,207.25,3730.5,-550.8,-12.87
NSE,EQ,TATAPOWER,TATA POWER,LONG,2.0,2022-01-12 10:16:38,BUY,237.8,475.6,2023-05-24 11:10:32,SELL,207.25,414.5,-61.1,-12.85
