date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-12-02 00:00:00+05:30,476.0,479.3,473.4,477.2,5478598.0,0.0,0.0,
2024-12-03 00:00:00+05:30,466.0,473.4,462.75,472.55,22218251.0,0.0,0.0,
2024-12-04 00:00:00+05:30,474.4,478.2,466.4,467.1,13439484.0,0.0,0.0,
2024-12-05 00:00:00+05:30,467.55,472.75,462.5,467.5,26415053.0,0.0,0.0,
2024-12-06 00:00:00+05:30,470.0,474.95,467.7,471.15,7551407.0,0.0,0.0,
2024-12-09 00:00:00+05:30,471.5,472.0,462.95,464.95,11703384.0,0.0,0.0,
2024-12-10 00:00:00+05:30,465.35,466.45,462.6,465.45,8823805.0,0.0,0.0,
2024-12-11 00:00:00+05:30,467.2,468.2,464.7,465.25,6745816.0,0.0,0.0,
2024-12-12 00:00:00+05:30,465.5,467.9,459.15,460.6,12884401.0,0.0,0.0,
2024-12-13 00:00:00+05:30,460.0,474.4,451.65,470.0,31753858.0,0.0,0.0,
2024-12-16 00:00:00+05:30,470.25,474.4,468.0,470.1,9007264.0,0.0,0.0,
2024-12-17 00:00:00+05:30,470.0,475.8,463.05,469.55,19844152.0,0.0,0.0,
2024-12-18 00:00:00+05:30,472.7,473.8,466.9,470.5,12365167.0,0.0,0.0,
2024-12-19 00:00:00+05:30,469.0,474.35,465.3,466.55,14599270.0,0.0,0.0,
2024-12-20 00:00:00+05:30,466.5,467.45,459.3,464.65,19481288.0,0.0,0.0,
2024-12-23 00:00:00+05:30,471.2,477.7,467.6,474.25,18837469.0,0.0,0.0,
2024-12-24 00:00:00+05:30,474.9,480.25,472.65,478.45,11564497.0,0.0,0.0,
2024-12-26 00:00:00+05:30,480.55,481.85,476.0,476.95,8848065.0,0.0,0.0,
2024-12-27 00:00:00+05:30,479.75,481.9,476.0,478.6,16279450.0,0.0,0.0,
2024-12-30 00:00:00+05:30,480.75,481.45,476.0,477.0,13074810.0,0.0,0.0,
