date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-12-02 00:00:00+05:30,4270.0,4288.2,4230.05,4276.65,1670944.0,0.0,0.0,
2024-12-03 00:00:00+05:30,4314.35,4325.0,4265.45,4302.75,2010905.0,0.0,0.0,
2024-12-04 00:00:00+05:30,4313.55,4386.95,4289.05,4354.4,3302642.0,0.0,0.0,
2024-12-05 00:00:00+05:30,4400.8,4489.0,4360.0,4464.05,3746747.0,0.0,0.0,
2024-12-06 00:00:00+05:30,4453.0,4465.0,4412.75,4445.5,1842087.0,0.0,0.0,
2024-12-09 00:00:00+05:30,4430.45,4469.4,4415.55,4452.15,2066639.0,0.0,0.0,
2024-12-10 00:00:00+05:30,4426.15,4493.8,4412.1,4432.55,2087828.0,0.0,0.0,
2024-12-11 00:00:00+05:30,4431.85,4448.65,4407.0,4427.45,1635256.0,0.0,0.0,
2024-12-12 00:00:00+05:30,4430.05,4485.0,4426.0,4454.95,1914642.0,0.0,0.0,
2024-12-13 00:00:00+05:30,4434.95,4494.9,4394.4,4473.9,1967048.0,0.0,0.0,
2024-12-16 00:00:00+05:30,4459.0,4475.0,4397.0,4415.2,1646224.0,0.0,0.0,
2024-12-17 00:00:00+05:30,4410.0,4432.95,4318.0,4328.5,3225027.0,0.0,0.0,
2024-12-18 00:00:00+05:30,4311.7,4362.0,4289.6,4347.85,1575404.0,0.0,0.0,
2024-12-19 00:00:00+05:30,4282.0,4364.0,4262.0,4271.9,3015763.0,0.0,0.0,
2024-12-20 00:00:00+05:30,4329.0,4382.0,4152.5,4170.3,4116989.0,0.0,0.0,
2024-12-23 00:00:00+05:30,4200.05,4217.0,4114.9,4158.3,2195338.0,0.0,0.0,
2024-12-24 00:00:00+05:30,4158.3,4218.0,4158.3,4179.5,1181886.0,0.0,0.0,
2024-12-26 00:00:00+05:30,4179.5,4199.95,4143.15,4169.1,1208464.0,0.0,0.0,
2024-12-27 00:00:00+05:30,4163.0,4180.95,4147.25,4164.85,858100.0,0.0,0.0,
2024-12-30 00:00:00+05:30,4151.0,4199.3,4112.0,4158.8,1527169.0,0.0,0.0,
